 train         node      observed        predicted
     y           25    7.300000E+05     6.117883E+05
     y           25    7.050000E+05     6.117883E+05
     y           73    3.070000E+05     5.120566E+05
     y           17    5.720000E+05     3.708738E+05
     y           17    4.400000E+05     3.708738E+05
     y           48    2.395000E+06     7.757435E+05
     y           19    5.130000E+05     7.060558E+05
     y           19    7.630000E+05     7.060558E+05
     y           17    4.490000E+05     3.708738E+05
     y           73    5.280000E+05     5.120566E+05
     y           17    2.250000E+05     3.708738E+05
     y           37    1.650000E+05     4.740929E+05
     y           37    5.000000E+05     4.740929E+05
     y           25    7.800000E+05     6.117883E+05
     y           37    3.000000E+05     4.740929E+05
     y           48    8.030000E+05     7.757435E+05
     y            7    1.550000E+06     9.370035E+05
     y           53    5.320000E+05     1.152055E+06
     y           72    6.150000E+05     6.913100E+05
     y           19    3.900000E+05     7.060558E+05
     y           48    6.300000E+05     7.757435E+05
     y           33    2.830000E+05     3.990938E+05
     y           73    3.220000E+05     5.120566E+05
     y           17    1.100000E+05     3.708738E+05
     y           17    3.300000E+05     3.708738E+05
     y           37    3.030000E+05     4.740929E+05
     y           25    7.300000E+05     6.117883E+05
     y           37    2.600000E+05     4.740929E+05
     y           73    3.660000E+05     5.120566E+05
     y           53    2.395000E+06     1.152055E+06
     y           48    7.000000E+05     7.757435E+05
     y           32    3.950000E+05     5.728587E+05
     y           48    6.300000E+05     7.757435E+05
     y           17    3.190000E+05     3.708738E+05
     y            7    1.235000E+06     9.370035E+05
     y           25    7.800000E+05     6.117883E+05
     y           48    7.000000E+05     7.757435E+05
     y           25    7.300000E+05     6.117883E+05
     y           53    4.800000E+05     1.152055E+06
     y           17    2.470000E+05     3.708738E+05
     y           53    2.395000E+06     1.152055E+06
     y           19    6.290000E+05     7.060558E+05
     y           33    3.260000E+05     3.990938E+05
     y            7    1.000000E+06     9.370035E+05
     y           19    6.180000E+05     7.060558E+05
     y           17    3.310000E+05     3.708738E+05
     y           48    6.450000E+05     7.757435E+05
     y           37    4.030000E+05     4.740929E+05
     y           37    2.710000E+05     4.740929E+05
     y           33    3.750000E+05     3.990938E+05
     y           37    2.630000E+05     4.740929E+05
     y           73    5.680000E+05     5.120566E+05
     y           17    5.670000E+05     3.708738E+05
     y            7    9.260000E+05     9.370035E+05
     y           32    3.700000E+05     5.728587E+05
     y           32    4.280000E+05     5.728587E+05
     y           25    5.290000E+05     6.117883E+05
     y           37    5.200000E+05     4.740929E+05
     y           19    9.500000E+05     7.060558E+05
     y           19    7.090000E+05     7.060558E+05
     y           53    8.020000E+05     1.152055E+06
     y           19    2.500000E+05     7.060558E+05
     y           33    3.970000E+05     3.990938E+05
     y           19    9.990000E+05     7.060558E+05
     y           48    7.990000E+05     7.757435E+05
     y           17    2.990000E+05     3.708738E+05
     y           17    3.510000E+05     3.708738E+05
     y           17    3.100000E+05     3.708738E+05
     y           17    5.520000E+05     3.708738E+05
     y           17    1.100000E+05     3.708738E+05
     y           55    7.980000E+05     6.720040E+05
     y           17    3.000000E+05     3.708738E+05
     y           37    7.190000E+05     4.740929E+05
     y           73    3.170000E+05     5.120566E+05
     y           17    6.800000E+05     3.708738E+05
     y           48    4.610000E+05     7.757435E+05
     y           17    1.100000E+05     3.708738E+05
     y           73    6.350000E+05     5.120566E+05
     y           72    6.360000E+05     6.913100E+05
     y           53    9.030000E+05     1.152055E+06
     y           32    1.125000E+06     5.728587E+05
     y           53    8.770000E+05     1.152055E+06
     y           17    3.760000E+05     3.708738E+05
     y           53    8.820000E+05     1.152055E+06
     y           19    4.750000E+05     7.060558E+05
     y           72    5.950000E+05     6.913100E+05
     y           73    5.190000E+05     5.120566E+05
     y           48    6.330000E+05     7.757435E+05
     y           73    4.100000E+05     5.120566E+05
     y           19    4.250000E+05     7.060558E+05
     y            7    8.960000E+05     9.370035E+05
     y           25    5.220000E+05     6.117883E+05
     y           37    2.910000E+05     4.740929E+05
     y           73    3.700000E+05     5.120566E+05
     y           17    2.560000E+05     3.708738E+05
     y           37    4.990000E+05     4.740929E+05
     y           32    4.380000E+05     5.728587E+05
     y           32    3.150000E+05     5.728587E+05
     y           17    3.960000E+05     3.708738E+05
     y           19    7.020000E+05     7.060558E+05
     y           37    7.200000E+05     4.740929E+05
     y           33    3.060000E+05     3.990938E+05
     y           32    1.750000E+05     5.728587E+05
     y           37    3.170000E+05     4.740929E+05
     y           37    3.180000E+05     4.740929E+05
     y           19    6.890000E+05     7.060558E+05
     y           17    3.500000E+05     3.708738E+05
     y           48    9.400000E+05     7.757435E+05
     y           53    4.360000E+05     1.152055E+06
     y           17    2.000000E+05     3.708738E+05
     y            7    1.088000E+06     9.370035E+05
     y           33    2.580000E+05     3.990938E+05
     y           17    3.330000E+05     3.708738E+05
     y           53    6.850000E+05     1.152055E+06
     y            7    2.229000E+06     9.370035E+05
     y           48    2.350000E+06     7.757435E+05
     y           73    3.850000E+05     5.120566E+05
     y           19    2.395000E+06     7.060558E+05
     y           73    3.690000E+05     5.120566E+05
     y           32    3.610000E+05     5.728587E+05
     y           48    7.000000E+05     7.757435E+05
     y           73    3.460000E+05     5.120566E+05
     y           53    8.750000E+05     1.152055E+06
     y           53    7.190000E+05     1.152055E+06
     y           19    5.490000E+05     7.060558E+05
     y           17    2.650000E+05     3.708738E+05
     y            7    1.440840E+06     9.370035E+05
     y           17    1.800000E+06     3.708738E+05
     y           33    3.500000E+05     3.990938E+05
     y           37    7.590000E+05     4.740929E+05
     y           17    3.020000E+05     3.708738E+05
     y           48    5.950000E+05     7.757435E+05
     y           54    4.000000E+05     5.411277E+05
