 train       observed       predicted
 y     6.780000E+05     5.993189E+05
 y     5.590000E+05     7.289113E+05
 y     1.950000E+05     3.543295E+05
 y     5.050000E+05     1.080034E+06
 y     1.990000E+05     3.203538E+05
 y     9.000000E+05     9.785194E+05
 y     2.300000E+05     2.510813E+05
 y     6.600000E+05     5.298673E+05
 y     4.500000E+05     3.576668E+05
 y     3.300000E+05     4.370711E+05
 y     2.580000E+05     3.958046E+05
 y     3.000000E+05     3.756301E+05
 y     5.040000E+05     4.348205E+05
 y     2.750000E+05     2.798707E+05
 y     6.900000E+05     6.928682E+05
 y     6.100000E+05     4.550092E+05
 y     3.580000E+05     3.415504E+05
 y     4.000000E+05     9.502313E+05
 y     4.000000E+05     7.395492E+05
 y     5.090000E+05     6.325409E+05
 y     3.460000E+05     4.377813E+05
 y     2.395000E+06     1.131858E+06
 y     4.100000E+05     4.620535E+05
 y     4.300000E+05     7.400148E+05
 y     5.290000E+05     3.091159E+05
 y     3.000000E+05     3.867421E+05
 y     1.450000E+06     9.707182E+05
 y     4.780000E+05     5.323191E+05
 y     3.390000E+05     6.990183E+05
 y     4.550000E+05     5.548386E+05
 y     3.250000E+05     4.187108E+05
 y     3.940000E+05     5.121022E+05
 y     4.900000E+05     5.153573E+05
 y     7.410000E+05     8.314836E+05
 y     3.070000E+05     4.615633E+05
 y     2.710000E+05     3.785689E+05
 y     4.080000E+05     4.326402E+05
 y     2.395000E+06     1.042279E+06
 y     2.395000E+06     9.821740E+05
 y     9.000000E+05     9.053837E+05
 y     3.580000E+05     4.420894E+05
 y     6.790000E+05     9.994314E+05
 y     4.920000E+05     7.996899E+05
 y     3.260000E+05     3.751207E+05
 y     2.000000E+05     4.519586E+05
 y     5.500000E+05     6.308150E+05
 y     2.890000E+05     5.484586E+05
 y     5.650000E+05     4.410212E+05
 y     5.250000E+05     6.382442E+05
 y     2.140000E+05     4.117567E+05
 y     4.900000E+05     4.695009E+05
 y     4.110000E+05     3.859177E+05
 y     8.010000E+05     1.061786E+06
 y     4.080000E+05     9.168406E+05
 y     4.000000E+05     5.435150E+05
 y     2.690000E+05     3.187283E+05
 y     4.640000E+05     3.445405E+05
 y     3.360000E+05     5.397854E+05
 y     5.420000E+05     5.719086E+05
 y     2.000000E+05     2.388914E+05
 y     2.920000E+05     3.908083E+05
 y     2.400000E+05     5.124358E+05
 y     3.220000E+05     4.046924E+05
 y     8.600000E+05     8.619788E+05
 y     1.700000E+05     2.748733E+05
 y     5.100000E+05     5.607032E+05
 y     3.970000E+05     4.372088E+05
 y     3.650000E+05     5.153770E+05
 y     1.940000E+05     2.871834E+05
 y     4.060000E+05     5.685905E+05
 y     3.040000E+05     4.153630E+05
 y     6.280000E+05     6.206584E+05
 y     1.200000E+06     5.914982E+05
 y     2.800000E+05     3.171198E+05
 y     2.250000E+05     3.855950E+05
 y     1.450000E+06     6.393636E+05
 y     5.810000E+05     5.025441E+05
 y     7.960000E+05     8.128729E+05
 y     2.890000E+05     3.794272E+05
 y     3.700000E+05     4.601813E+05
 y     3.760000E+05     4.373555E+05
 y     2.500000E+05     3.635829E+05
 y     1.170000E+06     7.500667E+05
 y     6.400000E+05     6.053346E+05
 y     3.120000E+05     3.519553E+05
 y     2.800000E+05     4.271466E+05
 y     2.920000E+05     4.613714E+05
 y     4.670000E+05     4.258324E+05
 y     2.000000E+05     2.859830E+05
 y     2.890000E+05     4.770572E+05
 y     3.350000E+05     4.364274E+05
 y     2.190000E+05     4.991912E+05
 y     3.160000E+05     5.175667E+05
 y     7.850000E+05     5.570038E+05
 y     7.250000E+05     6.445806E+05
 y     7.660000E+05     1.039135E+06
 y     2.395000E+06     1.126200E+06
 y     1.850000E+05     2.579109E+05
